city,osmid,length_m,highway_type,lanes,speed_limit,is_oneway,intersection_density,poi_schools,poi_hospitals,poi_markets,poi_bus_stops,poi_fuel,annual_rainfall_mm,avg_temp_c,fog_days_per_year,pop_density_km2,urban_share_pct,is_blackspot,cat_risk_score,cat_predicted,morth_predicted,mismatch_category,lat,lon
Delhi,423345571,171.1,residential,1,40,0,25,0,0,0,2,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.6158,77.01242
Delhi,1050984516,23.0,residential,1,40,0,56,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.73103,77.04886
Delhi,77764322,93.3,residential,1,40,0,13,0,1,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.69733,77.16369
Delhi,1122279951,38.4,residential,1,40,0,67,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.67888,77.26864
Delhi,"[404293281, 421459253]",63.4,residential,1,40,0,27,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.49528,77.25256
Delhi,1423495168,84.7,residential,1,40,0,34,0,1,2,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.64496,77.22977
Delhi,1078168509,79.1,residential,1,40,0,34,0,0,0,3,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.60048,76.91531
Delhi,1454091856,21.6,unclassified,1,40,0,65,2,1,0,2,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.63556,77.28356
Delhi,1214968659,81.2,residential,1,40,0,76,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.61693,77.05797
Delhi,423804669,49.8,residential,1,40,0,35,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.72413,77.21918
Delhi,23134751,85.9,secondary,1,40,1,22,0,0,0,4,0,723.7,30.2,0.0,11320,97.5,1,0.9985,1,1,Confirmed Black Spot,28.60514,77.19823
Delhi,422614363,63.2,residential,1,40,0,16,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.83674,77.20846
Delhi,422401084,182.1,residential,1,40,0,13,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.79758,77.09505
